base_config,config,policy,episode_id,jitter_seed,jitter_applied,generated_config_path,episode_length,outcome,red_alive_final,blue_alive_final,mav_alive_final,red_fire_count,blue_fire_count,red_hit_count,blue_hit_count,first_launch_side,first_hit_side,red_min_altitude_m,blue_min_altitude_m,red_speed_min_mps,red_speed_max_mps,blue_speed_min_mps,blue_speed_max_mps,death_reasons
uav_env/JSBSim/configs/hetero_mav_shared_geo_3v2_f16_dynamics_f22_visual_mav_tam_paper_reward_v7_role_aligned.yaml,outputs/environment_audit_v2_auto/generated_configs/hetero_mav_shared_geo_3v2_f16_dynamics_f22_visual_mav_tam_paper_reward_v7_role_aligned_jitter_seed_0.yaml,blue_rule_only_strength_probe,0,0,1,outputs/environment_audit_v2_auto/generated_configs/hetero_mav_shared_geo_3v2_f16_dynamics_f22_visual_mav_tam_paper_reward_v7_role_aligned_jitter_seed_0.yaml,1000,draw_or_timeout,2,2,1,0,1,0,1,blue,blue,4578.585703591508,5245.818640751463,212.59131123864773,291.80361962672475,231.51883807628775,355.49270244091144,red:missile_hit:1
uav_env/JSBSim/configs/hetero_mav_shared_geo_3v2_f16_dynamics_f22_visual_mav_tam_paper_reward_v7_role_aligned.yaml,outputs/environment_audit_v2_auto/generated_configs/hetero_mav_shared_geo_3v2_f16_dynamics_f22_visual_mav_tam_paper_reward_v7_role_aligned_jitter_seed_0.yaml,blue_rule_only_strength_probe,1,0,1,outputs/environment_audit_v2_auto/generated_configs/hetero_mav_shared_geo_3v2_f16_dynamics_f22_visual_mav_tam_paper_reward_v7_role_aligned_jitter_seed_0.yaml,1000,draw_or_timeout,2,2,1,0,1,0,1,blue,blue,4578.585703591508,5245.818640751463,212.59131123864773,291.80361962672475,231.51883807628775,355.49270244091144,red:missile_hit:1
uav_env/JSBSim/configs/hetero_mav_shared_geo_3v2_f16_dynamics_f22_visual_mav_tam_paper_reward_v7_role_aligned.yaml,outputs/environment_audit_v2_auto/generated_configs/hetero_mav_shared_geo_3v2_f16_dynamics_f22_visual_mav_tam_paper_reward_v7_role_aligned_jitter_seed_1.yaml,zero_action_red_vs_blue_rule,0,1,1,outputs/environment_audit_v2_auto/generated_configs/hetero_mav_shared_geo_3v2_f16_dynamics_f22_visual_mav_tam_paper_reward_v7_role_aligned_jitter_seed_1.yaml,1000,draw_or_timeout,1,2,1,0,1,0,1,blue,blue,2496.4194659388095,4933.3090629172775,238.53470358609923,273.5007623166726,246.38342762837593,353.798008185149,red:missile_hit:1;red:Crash_LowAlt:1
uav_env/JSBSim/configs/hetero_mav_shared_geo_3v2_f16_dynamics_f22_visual_mav_tam_paper_reward_v7_role_aligned.yaml,outputs/environment_audit_v2_auto/generated_configs/hetero_mav_shared_geo_3v2_f16_dynamics_f22_visual_mav_tam_paper_reward_v7_role_aligned_jitter_seed_1.yaml,zero_action_red_vs_blue_rule,1,1,1,outputs/environment_audit_v2_auto/generated_configs/hetero_mav_shared_geo_3v2_f16_dynamics_f22_visual_mav_tam_paper_reward_v7_role_aligned_jitter_seed_1.yaml,1000,draw_or_timeout,1,2,1,0,1,0,1,blue,blue,2496.4194659388095,4933.3090629172775,238.53470358609923,273.5007623166726,246.38342762837593,353.798008185149,red:missile_hit:1;red:Crash_LowAlt:1
uav_env/JSBSim/configs/hetero_mav_shared_geo_3v2_f16_dynamics_f22_visual_mav_tam_paper_reward_v7_role_aligned.yaml,outputs/environment_audit_v2_auto/generated_configs/hetero_mav_shared_geo_3v2_f16_dynamics_f22_visual_mav_tam_paper_reward_v7_role_aligned_jitter_seed_1.yaml,level_flight_red_vs_blue_rule,0,1,1,outputs/environment_audit_v2_auto/generated_configs/hetero_mav_shared_geo_3v2_f16_dynamics_f22_visual_mav_tam_paper_reward_v7_role_aligned_jitter_seed_1.yaml,1000,draw_or_timeout,3,2,1,0,0,0,0,,,4178.892329030067,5121.057060927969,202.67670562605514,292.7963533321155,253.38461610094285,354.0480994182423,
uav_env/JSBSim/configs/hetero_mav_shared_geo_3v2_f16_dynamics_f22_visual_mav_tam_paper_reward_v7_role_aligned.yaml,outputs/environment_audit_v2_auto/generated_configs/hetero_mav_shared_geo_3v2_f16_dynamics_f22_visual_mav_tam_paper_reward_v7_role_aligned_jitter_seed_1.yaml,level_flight_red_vs_blue_rule,1,1,1,outputs/environment_audit_v2_auto/generated_configs/hetero_mav_shared_geo_3v2_f16_dynamics_f22_visual_mav_tam_paper_reward_v7_role_aligned_jitter_seed_1.yaml,1000,draw_or_timeout,3,2,1,0,0,0,0,,,4178.892329030067,5121.057060927969,202.67670562605514,292.7963533321155,253.38461610094285,354.0480994182423,
uav_env/JSBSim/configs/hetero_mav_shared_geo_3v2_f16_dynamics_f22_visual_mav_tam_paper_reward_v7_role_aligned.yaml,outputs/environment_audit_v2_auto/generated_configs/hetero_mav_shared_geo_3v2_f16_dynamics_f22_visual_mav_tam_paper_reward_v7_role_aligned_jitter_seed_1.yaml,straight_chase_red_vs_blue_rule,0,1,1,outputs/environment_audit_v2_auto/generated_configs/hetero_mav_shared_geo_3v2_f16_dynamics_f22_visual_mav_tam_paper_reward_v7_role_aligned_jitter_seed_1.yaml,422,red_win,3,0,1,2,0,2,0,red,red,5347.049013441038,5741.157483971224,202.67670562605514,340.1491256296258,253.38461610094285,341.24237632062324,blue:missile_hit:2
uav_env/JSBSim/configs/hetero_mav_shared_geo_3v2_f16_dynamics_f22_visual_mav_tam_paper_reward_v7_role_aligned.yaml,outputs/environment_audit_v2_auto/generated_configs/hetero_mav_shared_geo_3v2_f16_dynamics_f22_visual_mav_tam_paper_reward_v7_role_aligned_jitter_seed_1.yaml,straight_chase_red_vs_blue_rule,1,1,1,outputs/environment_audit_v2_auto/generated_configs/hetero_mav_shared_geo_3v2_f16_dynamics_f22_visual_mav_tam_paper_reward_v7_role_aligned_jitter_seed_1.yaml,400,red_win,3,0,1,2,0,2,0,red,red,5811.159931534105,5622.2000053099755,202.67670562605514,343.140463650055,253.38461610094285,352.5509290463105,blue:missile_hit:2
uav_env/JSBSim/configs/hetero_mav_shared_geo_3v2_f16_dynamics_f22_visual_mav_tam_paper_reward_v7_role_aligned.yaml,outputs/environment_audit_v2_auto/generated_configs/hetero_mav_shared_geo_3v2_f16_dynamics_f22_visual_mav_tam_paper_reward_v7_role_aligned_jitter_seed_1.yaml,oracle_geometry_red_vs_blue_rule,0,1,1,outputs/environment_audit_v2_auto/generated_configs/hetero_mav_shared_geo_3v2_f16_dynamics_f22_visual_mav_tam_paper_reward_v7_role_aligned_jitter_seed_1.yaml,422,red_win,3,0,1,2,0,2,0,red,red,5347.049013441038,5741.157483971224,202.67670562605514,340.1491256296258,253.38461610094285,341.24237632062324,blue:missile_hit:2
uav_env/JSBSim/configs/hetero_mav_shared_geo_3v2_f16_dynamics_f22_visual_mav_tam_paper_reward_v7_role_aligned.yaml,outputs/environment_audit_v2_auto/generated_configs/hetero_mav_shared_geo_3v2_f16_dynamics_f22_visual_mav_tam_paper_reward_v7_role_aligned_jitter_seed_1.yaml,oracle_geometry_red_vs_blue_rule,1,1,1,outputs/environment_audit_v2_auto/generated_configs/hetero_mav_shared_geo_3v2_f16_dynamics_f22_visual_mav_tam_paper_reward_v7_role_aligned_jitter_seed_1.yaml,400,red_win,3,0,1,2,0,2,0,red,red,5811.159931534105,5622.2000053099755,202.67670562605514,343.140463650055,253.38461610094285,352.5509290463105,blue:missile_hit:2
