iteration,total_steps,average_team_return,average_episode_length,average_red_alive,average_blue_alive,actor_loss,critic_loss,entropy,action_mean_abs,action_std,action_min,action_max,value_mean,value_std,nan_detected,opponent_policy,episodes_completed
58,7424,-0.4151,665.1,1.00,1.20,-0.004283,0.691261,0.227088,0.335238,0.365412,-1.000000,1.000000,-0.534281,0.220387,0,rule_nearest,12
59,7552,-0.4151,665.1,1.00,1.20,-0.002670,0.084052,0.227976,0.389874,0.329157,-0.930286,1.000000,-0.283445,0.028637,0,rule_nearest,12
60,7680,-4.7187,677.3,0.90,1.40,-0.008076,2.119738,0.228472,0.367595,0.351058,-0.942861,1.000000,-0.535935,0.471259,0,rule_nearest,13
61,7808,-4.7187,677.3,0.90,1.40,-0.006767,0.077081,0.228793,0.340863,0.395720,-1.000000,1.000000,-2.037185,0.994816,0,rule_nearest,13
62,7936,-4.7187,677.3,0.90,1.40,-0.007115,0.006726,0.229100,0.414919,0.330280,-0.862397,1.000000,-0.114706,0.079719,0,rule_nearest,13
63,8064,-4.7720,676.2,0.90,1.40,-0.004842,1.713083,0.229451,0.338438,0.400357,-1.000000,1.000000,-2.346910,1.636958,0,rule_nearest,14
64,8192,-4.7720,676.2,0.90,1.40,-0.004016,0.609576,0.229833,0.397222,0.376203,-1.000000,1.000000,-1.009962,1.252399,0,rule_nearest,14
65,8320,-4.7720,676.2,0.90,1.40,-0.003605,0.066686,0.230287,0.446189,0.351970,-0.906531,1.000000,0.254425,0.065191,0,rule_nearest,14
66,8448,-9.8129,614.2,0.70,1.50,-0.006351,2.414323,0.230705,0.358769,0.405044,-1.000000,1.000000,-2.697793,1.804657,0,rule_nearest,15
67,8576,-9.8129,614.2,0.70,1.50,-0.006809,0.210836,0.231248,0.452174,0.360332,-1.000000,1.000000,-0.455893,0.399302,0,rule_nearest,15
68,8704,-11.6602,606.8,0.70,1.50,-0.002928,1.668748,0.232475,0.424387,0.452980,-1.000000,1.000000,-1.833794,1.921625,0,rule_nearest,16
69,8832,-11.6602,606.8,0.70,1.50,-0.006815,0.336324,0.233244,0.445408,0.442466,-1.000000,1.000000,-1.613705,2.069903,0,rule_nearest,16
70,8960,-16.7941,537.2,0.50,1.50,-0.004170,1.587524,0.233755,0.484082,0.381360,-1.000000,1.000000,0.069412,0.404442,0,rule_nearest,17
71,9088,-16.7941,537.2,0.50,1.50,-0.005775,0.251191,0.234333,0.417643,0.448486,-1.000000,1.000000,-3.077164,1.839044,0,rule_nearest,17
72,9216,-16.7941,537.2,0.50,1.50,-0.002358,0.007382,0.234640,0.490354,0.350676,-1.000000,1.000000,-0.098340,0.054556,0,rule_nearest,17
73,9344,-22.6444,550.6,0.30,1.70,-0.002307,2.087965,0.234678,0.476885,0.361490,-1.000000,1.000000,-0.263527,0.758313,0,rule_nearest,18
74,9472,-22.6444,550.6,0.30,1.70,-0.005345,0.567870,0.235003,0.417019,0.428420,-1.000000,1.000000,-3.062834,1.431869,0,rule_nearest,18
75,9600,-22.6444,550.6,0.30,1.70,-0.003810,0.012457,0.235234,0.524404,0.362189,-0.913243,1.000000,0.089895,0.078552,0,rule_nearest,18
76,9728,-27.4258,482.5,0.20,1.80,-0.010891,1.737869,0.234776,0.445639,0.463165,-1.000000,1.000000,-2.050576,1.732595,0,rule_nearest,19
77,9856,-27.4258,482.5,0.20,1.80,-0.004262,0.381320,0.233976,0.500840,0.436552,-1.000000,1.000000,-1.203584,1.545596,0,rule_nearest,19
78,9984,-27.4258,482.5,0.20,1.80,-0.003199,0.012780,0.233555,0.523654,0.378381,-0.854985,1.000000,-0.053796,0.109492,0,rule_nearest,19
79,10112,-29.3962,474.5,0.20,1.90,-0.003388,2.100501,0.233818,0.444309,0.444818,-1.000000,1.000000,-2.328264,1.923159,0,rule_nearest,20
80,10240,-29.3962,474.5,0.20,1.90,-0.008789,0.078222,0.233987,0.499442,0.470982,-1.000000,1.000000,-0.856423,1.635679,0,rule_nearest,20
81,10368,-32.9088,404.8,0.10,2.00,-0.001185,1.549576,0.233858,0.507204,0.449256,-1.000000,1.000000,-1.162761,1.589876,0,rule_nearest,21
82,10496,-32.9088,404.8,0.10,2.00,-0.006577,0.230610,0.234046,0.438013,0.453062,-1.000000,1.000000,-2.707751,1.518643,0,rule_nearest,21
83,10624,-32.9088,404.8,0.10,2.00,-0.007625,0.020343,0.233876,0.548120,0.426104,-1.000000,1.000000,-0.101146,0.169441,0,rule_nearest,21
84,10752,-34.8762,335.2,0.00,2.00,-0.002871,1.678085,0.233687,0.365888,0.398075,-1.000000,1.000000,-2.922668,1.251633,0,rule_nearest,22
85,10880,-34.8762,335.2,0.00,2.00,-0.006244,0.062927,0.233470,0.457983,0.451089,-1.000000,1.000000,-0.422948,1.193851,0,rule_nearest,22
86,11008,-34.8762,335.2,0.00,2.00,-0.003274,0.015457,0.233340,0.500451,0.431172,-0.854734,1.000000,-0.135631,0.119444,0,rule_nearest,22
87,11136,-34.8160,335.1,0.00,2.00,-0.000360,2.342740,0.233132,0.377190,0.398267,-0.980568,1.000000,-3.797142,1.246813,0,rule_nearest,23
88,11264,-34.8160,335.1,0.00,2.00,-0.008946,0.103071,0.233282,0.428579,0.456085,-1.000000,1.000000,-1.531072,1.541622,0,rule_nearest,23
89,11392,-34.8160,335.1,0.00,2.00,-0.001228,0.007276,0.233207,0.525240,0.432291,-1.000000,1.000000,0.012989,0.114469,0,rule_nearest,23
90,11520,-34.5055,342.6,0.00,2.00,-0.002206,2.152417,0.233474,0.367822,0.384351,-1.000000,1.000000,-2.934370,0.714845,0,rule_nearest,24
91,11648,-34.5055,342.6,0.00,2.00,-0.005958,0.099663,0.233995,0.504144,0.434012,-1.000000,1.000000,-0.267474,0.622537,0,rule_nearest,24
92,11776,-33.9620,342.2,0.00,2.00,-0.004690,2.100085,0.234512,0.516630,0.427184,-1.000000,1.000000,-0.344506,0.260110,0,rule_nearest,25
93,11904,-33.9620,342.2,0.00,2.00,-0.003550,0.500374,0.235066,0.446126,0.406044,-1.000000,1.000000,-2.443853,0.619126,0,rule_nearest,25
94,12032,-33.9620,342.2,0.00,2.00,-0.006074,0.178390,0.235432,0.544226,0.445274,-1.000000,1.000000,-0.387803,0.462754,0,rule_nearest,25
95,12160,-33.8144,343.7,0.00,2.00,-0.006369,1.570128,0.235598,0.513090,0.494807,-1.000000,1.000000,-2.245427,1.742220,0,rule_nearest,26
96,12288,-33.8144,343.7,0.00,2.00,-0.005730,0.172271,0.235435,0.548505,0.477245,-1.000000,1.000000,-0.869714,1.791988,0,rule_nearest,26
97,12416,-33.7466,344.8,0.00,2.00,-0.008229,1.525464,0.235252,0.574020,0.451860,-1.000000,1.000000,-0.268417,1.163806,0,rule_nearest,27
98,12544,-33.7466,344.8,0.00,2.00,-0.005260,0.149415,0.235155,0.531672,0.449372,-1.000000,1.000000,-3.139528,1.798167,0,rule_nearest,27
99,12672,-33.7466,344.8,0.00,2.00,-0.002479,0.039050,0.235227,0.597379,0.410840,-1.000000,1.000000,-0.228597,0.177161,0,rule_nearest,27
100,12800,-33.6737,338.7,0.00,2.00,-0.003991,1.624808,0.235449,0.532509,0.464565,-1.000000,1.000000,-2.811295,2.017681,0,rule_nearest,28
101,12928,-33.6737,338.7,0.00,2.00,-0.013698,0.151418,0.235741,0.587228,0.431176,-1.000000,1.000000,-0.414466,1.420394,0,rule_nearest,28
