team,shooter_id,target_id,missile_id,current_step,physics_frame,range_m,AO_rad,AO_deg,TA_rad,TA_deg,relative_distance_3d_m,horizontal_range_m,altitude_diff_m,shooter_speed_mps,target_speed_mps,closing_speed_mps,shooter_alt_m,target_alt_m,target_alive_at_launch,raw_termination_reason,termination_reason,is_success,flight_time_sec,launch_step,termination_step,step_delta,target_alive_at_termination,pn_guidance_frames,pn_nonzero_command_frames,maximum_command_g
blue,blue_0,red_1,m1,93,1113,4048.4522657862803,0.6635750578302434,38.02005020382248,2.477621091271617,141.957231762461,4048.4522657862803,4038.758871481496,-279.9866539311788,299.426721671151,240.23907042509882,40.833196333367226,5374.210413309687,5094.2237593785085,True,hit,hit,True,7.19999999999998,93,129,36,False,431,431,30.000000000000004
blue,blue_0,red_2,m2,90,1079,5083.040403430479,0.6387533075563621,36.59786867300138,2.567012663763384,147.07899159027698,5083.040403430479,5007.886879521137,-870.843697127525,299.65689658660693,274.78102263302844,-0.5914636701954255,5512.386529214295,4641.5428320867695,True,hit,hit,True,9.716666666666729,90,139,49,False,582,582,29.645848475066042
blue,blue_1,red_2,m2,130,1559,3990.812753528437,0.24954245106113415,14.297729255152879,3.085659089835766,176.79524286376832,3990.812753528437,3868.9691453974824,-978.6031809101678,302.21145714711486,259.8106521362479,32.328415476409425,5069.334763020599,4090.731582110431,True,hit,hit,True,7.033333333333314,130,165,35,False,421,421,11.983601622024318
blue,blue_0,red_0,m0,47,562,5236.689747847862,0.10246761234922791,5.870961724393354,1.5809224816214975,90.58018593426026,5236.689747847862,5224.403577287665,-358.5063135270402,301.90408055985586,271.28422314600533,310.99219565254845,5965.381920621355,5606.875607094315,True,hit,hit,True,8.65000000000001,47,90,43,False,518,518,22.668776485091932
blue,blue_0,red_2,m1,63,746,4196.200181588301,0.43543943947884733,24.94884211568019,1.574104492595204,90.18954393828713,4196.200181588301,4113.722891903791,-827.8767617154163,303.22626411148605,253.52256273407806,282.1142770518519,5831.3538873085745,5003.477125593158,True,hit,hit,True,6.416666666666649,63,95,32,False,384,384,29.65394786153675
blue,blue_2,red_1,m2,84,1000,2821.9945619645027,0.6199860457694093,35.52258377959184,1.754854714900068,100.54576882240724,2821.9945619645027,2421.6756657966284,-1448.8410117903486,299.7232213561498,265.0141751043368,142.2802722044297,5621.478878565448,4172.6378667751,True,hit,hit,True,5.3833333333333195,84,111,27,False,322,322,30.000000000000007
blue,blue_0,red_0,m0,74,878,2590.0665868688448,0.33591412304670876,19.24646152941463,1.590064970640464,91.10401196929173,2590.0665868688448,2488.451798443202,-718.3679915191242,302.15949918392636,277.52557950885057,256.16207443510746,5800.334019558142,5081.966028039018,True,hit,hit,True,4.216666666666657,74,95,21,False,252,252,30.000000000000007
blue,blue_2,red_2,m1,87,1040,3773.633529523737,0.2371825274028483,13.5895577944292,2.348807025781989,134.5767294679835,3773.633529523737,3661.6315009379236,-912.5594591503977,301.6552947103857,234.95950877487,113.88317861881087,5526.931608031966,4614.372148881568,True,hit,hit,True,6.499999999999982,87,120,33,False,389,389,21.53619680277465
blue,blue_2,red_1,m2,94,1128,3616.3977758435817,0.12543639013612215,7.186975752156229,2.3433321082666025,134.2630398011696,3616.3977758435817,3587.0038375789463,-460.1481743094482,301.0429243954248,253.02647709076578,120.87101581221711,5412.391885085793,4952.243710776344,True,hit,hit,True,6.21666666666665,94,125,31,False,372,372,14.876239548143914
blue,blue_2,red_2,m2,61,728,3812.543248359139,0.12790939950484462,7.328668751680339,1.573883553805171,90.17688507808751,3812.543248359139,3767.446956514877,-584.6618257211985,302.01170167925136,257.77388829814765,320.058256433338,5882.820920463691,5298.159094742493,True,hit,hit,True,5.749999999999985,61,90,29,False,344,344,25.692367331319538
