team,shooter_id,target_id,missile_id,current_step,physics_frame,range_m,AO_rad,AO_deg,TA_rad,TA_deg,relative_distance_3d_m,horizontal_range_m,altitude_diff_m,shooter_speed_mps,target_speed_mps,closing_speed_mps,shooter_alt_m,target_alt_m,target_alive_at_launch,termination_reason,is_success,flight_time_sec,launch_step,termination_step,step_delta,target_alive_at_termination
blue,blue_0,red_0,m1,66,787,3772.4544542321396,0.5290019772253164,30.309580649086325,1.5931554560296228,91.2810837387374,3827.593288366707,3772.4544542321396,-647.3467169098412,337.38619653827914,265.60569333874855,266.4387890218564,5684.887749882466,5037.541032972625,True,hit,True,6.466666666666649,66,98,32,False
blue,blue_1,red_1,m3,150,1795,4977.478972676025,0.7006665416587695,40.145235683074766,2.9641080274901075,169.83087999603055,5363.06337773575,4977.478972676025,-1996.7853841057686,288.88815481613614,252.55781680836404,-106.80719442152089,6441.999038826145,4445.213654720376,True,miss,False,11.90000000000017,150,209,59,True
blue,blue_0,red_1,m4,211,2523,6199.006353211777,0.17895724304772886,10.253494739931757,2.88297662632116,165.1823931230671,6415.248721725941,6199.006353211777,-1651.586023931648,284.724999378253,233.73672208572182,104.91122290908726,6729.840606142053,5078.254582210405,True,hit,True,9.900000000000071,211,260,49,False
blue,blue_0,red_1,m2,154,1844,4833.215377431387,0.7417853566551639,42.5011702409474,2.4133501567095514,138.27477846669314,5025.8422707828095,4833.215377431387,-1378.0855003039824,283.4858164169494,228.0644141143589,-23.269442237876724,6296.76931567912,4918.683815375138,True,hit,True,9.966666666666741,154,204,50,False
blue,blue_0,red_0,m0,150,1793,3817.2598882373245,0.7417005072893096,42.49630873038959,2.578280589436342,147.72459617520457,5164.149891622336,3817.2598882373245,-3478.070017811223,285.1295465176509,243.36363773287997,-130.32768504895992,6456.316652854819,2978.246635043596,True,hit,True,11.066666666666796,150,205,55,False
blue,blue_0,red_1,m1,152,1823,4253.266383295135,0.6539324741316159,37.46757085428948,2.7124048763150155,155.40935174355445,5033.208819745052,4253.266383295135,-2691.2666341131835,282.85201087828347,246.42996065680825,-117.00114078239676,6514.880503186878,3823.6138690736943,True,hit,True,12.450000000000198,152,215,63,False
blue,blue_0,red_1,m0,61,732,4198.4082862745245,0.48984825796612824,28.066237783294756,1.6189627523121461,92.75973289636964,4229.93437407527,4198.4082862745245,-515.4732492816265,333.97738146094315,253.68347342788246,268.34062361964,5828.73561893846,5313.2623696568335,True,hit,True,6.766666666666648,61,95,34,False
blue,blue_0,red_0,m1,73,870,2602.7194818387948,0.4963047393941274,28.436166919623705,1.6146868795305043,92.51474343224669,2738.156684667017,2602.7194818387948,-850.5018099001718,337.7286876029885,252.34703058588872,248.80253988788294,5642.047496982154,4791.545687081983,True,kill_cooldown_blocked,False,4.716666666666655,73,96,23,True
blue,blue_0,red_0,m0,65,769,3608.5122555602447,0.464876922099082,26.63548562930935,1.6465144897591524,94.33833117033564,3654.3211481916615,3608.5122555602447,-576.8035675967476,334.2680142188642,268.1640070763689,261.4962084297645,5773.395928886901,5196.592361290153,True,hit,True,6.483333333333316,65,97,32,False
blue,blue_0,red_1,m1,74,885,2598.0321698227,0.6627574216698774,37.97320310265622,1.615339229465716,92.55212033029996,2771.521000295898,2598.0321698227,-965.1722642344876,340.95920091997954,258.86935461100103,212.41313917891765,5599.210409987658,4634.03814575317,True,hit,True,5.149999999999987,74,100,26,False
blue,blue_0,red_1,m0,60,711,4143.395139261184,0.429584608548214,24.61338501359225,1.6233654072275054,93.01198644167225,4166.369833500836,4143.395139261184,-436.9374205221793,332.62114728222303,252.29972967801828,279.8676021184783,5815.859616630576,5378.922196108397,True,hit,True,6.049999999999984,60,90,30,False
blue,blue_0,red_0,m1,66,781,3126.729693324039,0.3902922708260865,22.362099894911662,1.6323794274630863,93.52845175761655,3165.7634013294214,3126.729693324039,-495.59997788799956,335.6668397956363,267.4682765994784,277.33370389576856,5719.277085146578,5223.677107258579,True,miss,False,5.18333333333332,66,91,25,True
blue,blue_0,red_1,m0,60,712,4437.308311107161,0.45367144802682413,25.993459257525704,1.623316321645211,93.00917404497183,4458.3280445297005,4437.308311107161,-432.41635586473603,333.79177726720593,251.5966858201018,274.9179985197635,5732.477573106065,5300.061217241329,True,hit,True,6.866666666666648,60,94,34,False
