team,shooter_id,target_id,missile_id,current_step,physics_frame,range_m,AO_rad,AO_deg,TA_rad,TA_deg,relative_distance_3d_m,horizontal_range_m,altitude_diff_m,shooter_speed_mps,target_speed_mps,closing_speed_mps,shooter_alt_m,target_alt_m,target_alive_at_launch,raw_termination_reason,termination_reason,is_success,flight_time_sec,launch_step,termination_step,step_delta,target_alive_at_termination
blue,blue_0,red_1,m1,59,697,4954.0116114361,0.22253903612696252,12.750547546984306,1.7431548433506414,99.8754155617799,4954.0116114361,4918.111578963858,-595.3230577638706,248.48475591269946,268.687878776145,211.5864730782198,6060.053686077073,5464.730628313202,True,hit,hit,True,8.85000000000002,59,103,44,False
blue,blue_0,red_1,m0,51,611,5101.062432470085,0.17127157936019502,9.813138647879114,1.6440780965382995,94.19873612154649,5101.062432470085,5061.473382053733,-634.2910552098019,254.21011289033174,267.3978849571644,258.04960862464105,6019.207207307774,5384.916152097972,True,hit,hit,True,8.566666666666672,51,94,43,False
blue,blue_0,red_0,m2,59,703,4586.049583755644,0.15789117364751784,9.046497872369976,1.7135398363199945,98.17860064867358,4586.049583755644,4557.875648096317,-507.56315977018767,247.43195650136786,266.53543630209003,227.03045806466596,5962.724232085098,5455.161072314911,True,hit,hit,True,7.833333333333311,59,98,39,False
blue,blue_0,red_2,m1,56,669,4932.417738095654,0.3050639435802397,17.478876448764797,1.731405172563159,99.20220901498901,4932.417738095654,4879.09005952447,-723.3428883525121,249.95896686791187,268.55091538882044,222.30451023617718,5984.149799960887,5260.806911608375,True,hit,hit,True,8.58333333333334,56,99,43,False
blue,blue_0,red_2,m0,51,604,5465.110239396134,0.2129149662763601,12.199128962805688,1.61454347633663,92.506527034469,5465.110239396134,5417.400266676195,-720.5583108736955,257.0965250031015,275.94967129044204,236.5514754197121,6012.405677488112,5291.847366614416,True,hit,hit,True,8.733333333333347,51,94,43,False
blue,blue_0,red_0,m1,53,634,5179.51450646092,0.10848684012143973,6.215838071669024,1.6010720438061572,91.73467080647767,5179.51450646092,5150.77367703447,-544.8862730955079,256.05342169256187,272.4620746058008,240.02647055938948,5989.470188841016,5444.583915745508,True,hit,hit,True,8.45,53,95,42,False
blue,blue_0,red_1,m2,59,700,4797.71653859437,0.2275629715033013,13.038397840594987,1.691871472538276,96.93709485502697,4797.71653859437,4731.0083790743665,-797.272664670043,253.8954137339088,263.76203298173755,239.42051779704508,5930.952070757894,5133.679406087851,True,hit,hit,True,8.083333333333314,59,99,40,False
blue,blue_0,red_0,m1,55,658,4931.7070589126115,0.0762731145111829,4.370127551808816,1.7018793548070876,97.51050427089369,4931.7070589126115,4903.7045297087625,-524.8012959609077,252.19167024269777,260.30021436520667,240.34557927206725,6013.774336541441,5488.973040580533,True,hit,hit,True,7.366666666666646,55,92,37,False
blue,blue_0,red_1,m0,55,651,4892.779917147038,0.1671663934040798,9.577928818477336,1.6161874416145956,92.60071930656248,4892.779917147038,4861.489730829295,-552.4607811226788,250.1783739459646,270.11082860938365,248.38442682078443,6025.495328553731,5473.0345474310525,True,hit,hit,True,8.283333333333324,55,96,41,False
blue,blue_0,red_1,m0,52,624,5303.756063206292,0.1459197296555552,8.36058465695327,1.6461399572256594,94.31687203687615,5303.756063206292,5247.857224144253,-767.9993053346307,253.82152110202216,271.21583435565776,232.77862880551496,6031.1023389736365,5263.103033639006,True,p_hit_fail,miss,False,9.166666666666702,52,98,46,True
blue,blue_0,red_0,m2,63,752,4314.345326212839,0.14697101845752067,8.420819068355257,1.7137148762731043,98.18862969923293,4314.345326212839,4263.695448119768,-659.1484806152066,241.7862246651586,269.688508633908,214.56932807096058,5960.562978685795,5301.414498070589,True,hit,hit,True,7.333333333333313,63,100,37,False
blue,blue_0,red_2,m2,58,688,4919.322078013371,0.24246903088216254,13.892452132175134,1.6949558929819215,97.11381912869173,4919.322078013371,4814.429105984807,-1010.4464808569146,250.81854195306514,272.3103086737056,204.18017771657253,5994.646702187287,4984.200221330372,True,hit,hit,True,8.833333333333352,58,102,44,False
blue,blue_0,red_2,m1,57,681,5150.822690120752,0.3183379546844992,18.23942126224866,1.6176695846802112,92.68563984885684,5150.822690120752,5128.646931254808,-477.44637352630616,247.78281115391684,268.4993281589379,228.8775330795793,6007.228085850842,5529.781712324536,True,hit,hit,True,9.333333333333377,57,104,47,False
blue,blue_0,red_2,m0,47,562,5667.0118790477245,0.20935701773286064,11.99527352753845,1.5886462703950919,91.02272643283774,5667.0118790477245,5649.867812625047,-440.47399143590974,257.1545368870431,265.712782055868,259.4765602207928,6063.036999661928,5622.563008226019,True,hit,hit,True,9.616666666666724,47,95,48,False
blue,blue_0,red_0,m1,58,693,4760.150315840267,0.12114486085374813,6.9410892366193915,1.739754666304929,99.68059976746332,4760.150315840267,4715.649571798991,-649.3690363623627,250.09467974224967,270.84731918876156,217.2029369820896,5999.773341358331,5350.404304995968,True,hit,hit,True,8.266666666666657,58,99,41,False
blue,blue_0,red_2,m0,51,607,5579.474187856363,0.18287569646681506,10.478005583064004,1.662902737063817,95.27730857450956,5579.474187856363,5556.782881868801,-502.6889860791389,253.26975053196642,268.5586966391737,237.0174015929078,6052.37771132869,5549.688725249551,True,hit,hit,True,8.600000000000007,51,94,43,False
blue,blue_0,red_1,m3,99,1188,3967.554421692772,0.4286350938224845,24.558981827222425,2.306275937778432,132.1398776272802,3967.554421692772,3868.3925573450642,-881.4914131012165,245.11015100410904,296.1088501059352,28.311070739426167,5556.916165342922,4675.424752241705,True,hit,hit,True,9.650000000000059,99,148,49,False
blue,blue_0,red_1,m2,63,748,4588.87398787966,0.2667513127120981,15.283724397977648,1.6007272768135614,91.71491711288651,4588.87398787966,4537.167631252183,-686.9311192223204,246.8351615094245,269.65849496001294,226.91507437191987,5958.1472619411825,5271.216142718862,True,hit,hit,True,7.966666666666644,63,103,40,False
blue,blue_0,red_1,m2,61,725,4601.470854196738,0.1547434934258432,8.866149080411216,1.5966061927635318,91.47879638980113,4601.470854196738,4527.439855500118,-822.0841665250173,246.11298978496822,275.1316608928477,219.50323188911287,5975.282725641309,5153.198559116292,True,hit,hit,True,7.6333333333333115,61,99,38,False
blue,blue_0,red_0,m1,57,676,4969.160314377247,0.06954858818188618,3.9848405739155135,1.727387623703999,98.97202042137154,4969.160314377247,4917.19604941384,-716.7546592877525,249.59328783183733,275.3418845875001,215.93715108613154,6011.218694516136,5294.464035228383,True,hit,hit,True,9.233333333333372,57,103,46,False
blue,blue_0,red_0,m1,55,654,4822.375942984506,0.11528854205335752,6.605546885873892,1.6101696494422573,92.25592521310062,4822.375942984506,4821.805664951354,-74.16107414767521,252.5045864226031,244.6338578330256,287.1191463926859,6032.177316406038,5958.016242258363,True,hit,hit,True,7.1666666666666465,55,91,36,False
blue,blue_1,red_1,m2,56,671,4687.399377645156,0.11183073358704892,6.407429054389805,1.6451346423483812,94.2592717373264,4687.399377645156,4676.71235920759,-316.34543585007214,251.7199227294894,257.4642317283605,267.65798947124165,6018.462959741076,5702.117523891004,True,hit,hit,True,7.183333333333313,56,92,36,False
blue,blue_0,red_2,m0,49,586,5564.527677588036,0.3179525848106502,18.21734119492562,1.6839931845742173,96.4857022048977,5564.527677588036,5564.036030832611,-73.96838675933759,256.9077346168572,256.9435944284154,247.64986705304437,6040.177265760168,5966.20887900083,True,hit,hit,True,9.066666666666697,49,95,46,False
blue,blue_0,red_2,m0,49,587,5497.179521572785,0.22086021002820433,12.65435789698905,1.6783618385328651,96.16304984375051,5497.179521572785,5454.968091472658,-679.9307416306065,255.88951550311654,272.7876028338989,242.02228000835265,6058.523710655964,5378.592969025358,True,hit,hit,True,9.416666666666714,49,96,47,False
blue,blue_0,red_0,m1,67,803,3887.4971780039104,0.16992086783626206,9.735748578218073,1.6526711202868523,94.69108011559425,3887.4971780039104,3772.4158318869404,-938.8892907670916,245.67538904945985,267.80884779122005,224.4723303385549,5900.350697244698,4961.461406477606,True,hit,hit,True,7.266666666666646,67,104,37,False
blue,blue_1,red_1,m2,69,827,3844.1814711404286,0.1938519756313624,11.106900053949946,1.6674300639170152,95.53670529567407,3844.1814711404286,3729.937195318661,-930.2148687468671,244.025681900947,266.72168702891105,225.04410059426047,5850.730976950278,4920.516108203411,True,hit,hit,True,7.5499999999999785,69,107,38,False
blue,blue_0,red_2,m0,47,554,5730.161250504935,0.21482073164779245,12.308321275330941,1.5892808281164816,91.05908391213082,5730.161250504935,5713.382429914378,-438.18850547904276,258.0768220230688,271.1198600880542,261.04751059169,6055.001352199213,5616.8128467201705,True,hit,hit,True,8.833333333333352,47,91,44,False
blue,blue_0,red_1,m0,52,623,5059.337672594233,0.08583704464890907,4.918100384258497,1.6513237461374715,94.6138812634097,5059.337672594233,5033.217643620459,-513.4372768692792,252.7536959569308,262.41119234951464,253.66227651206563,6042.469692900268,5529.032416030988,True,hit,hit,True,7.849999999999977,52,92,40,False
blue,blue_0,red_0,m1,55,653,5044.972671254001,0.05176196618962311,2.9657422019642676,1.6441308944770467,94.20176122060369,5044.972671254001,4993.388350518182,-719.5985232121029,251.12563370341627,265.23577883213846,237.99334726766625,6025.4486276461885,5305.850104434086,True,hit,hit,True,7.433333333333312,55,92,37,False
blue,blue_0,red_1,m1,58,689,4858.895239866241,0.14537904179648367,8.329605524594507,1.7427878191203092,99.85438662240283,4858.895239866241,4801.408673941123,-745.2098347430474,250.98106627190535,274.7994131935946,216.75394687065614,5989.728151177908,5244.518316434861,True,hit,hit,True,8.399999999999997,58,100,42,False
blue,blue_0,red_0,m2,64,763,4589.705406905222,0.1233263490892591,7.06607930557161,1.6942065746997912,97.07088635361367,4589.705406905222,4488.557614871008,-958.2516684872107,247.54914638396593,274.80957624746304,210.25564040129666,5928.611484766207,4970.359816278996,True,hit,hit,True,8.233333333333322,64,105,41,False
blue,blue_0,red_2,m2,58,693,4837.212395287853,0.23477006131896558,13.451333669604269,1.7679740464882734,101.29745115244407,4837.212395287853,4796.745586967061,-624.3841213855949,248.4874440617331,266.38286335158665,221.86750779675194,5999.677795091994,5375.293673706399,True,hit,hit,True,9.150000000000034,58,104,46,False
